EmployeeNumber,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction
1864,3,2,3,4
1865,2,4,3,4
1866,3,1,3,4
1867,2,4,3,4
1868,4,4,2,2
1869,2,3,3,3
1870,1,4,2,4
1871,4,4,3,2
1873,4,2,4,2
1875,2,2,3,4
1876,4,2,2,3
1878,2,4,3,1
1880,3,2,3,1
1881,3,2,3,1
1882,4,3,3,4
1883,1,4,3,2
1885,1,4,3,3
1886,2,4,3,4
1888,4,2,2,4
1890,4,2,2,4
1892,1,1,3,1
1893,3,2,2,3
1898,3,1,2,2
1900,4,4,3,2
1903,1,2,3,4
1905,1,4,3,2
1907,4,1,3,4
1908,2,3,1,3
1909,2,3,3,3
1911,1,3,4,2
1912,4,3,3,4
1915,4,4,2,3
1916,3,1,2,2
1918,4,3,3,1
1922,3,2,3,3
1924,3,2,2,2
1927,4,3,3,3
1928,1,3,3,4
1929,3,1,3,3
1931,2,2,2,3
1932,4,3,3,2
1933,3,4,3,4
1934,2,3,4,3
1935,1,4,3,3
1936,1,1,3,4
1937,2,4,3,3
1938,4,4,2,3
1939,3,1,3,1
1940,4,2,4,4
1941,4,2,3,4
1943,4,2,3,3
1944,2,1,3,1
1945,1,2,1,4
1947,3,3,2,3
1948,1,3,4,4
1949,2,1,3,2
1950,4,1,2,1
1951,3,4,2,3
1952,1,3,2,4
1954,1,1,2,1
1955,4,3,3,2
1956,1,4,3,2
1960,4,3,2,1
1961,1,1,2,1
1962,4,3,3,4
1965,4,4,3,1
1966,4,4,3,2
1967,4,1,3,3
1968,1,1,2,2
1969,3,1,2,3
1970,3,4,3,3
1971,3,1,3,2
1972,2,4,3,2
1973,2,3,3,1
1974,4,4,3,3
1975,1,2,3,1
1976,3,4,3,4
1979,3,3,4,3
1980,1,3,3,4
1981,3,2,2,2
1982,4,4,4,3
1985,3,4,4,1
1986,2,2,3,3
1987,2,3,3,3
1989,2,4,2,3
1992,3,4,2,3
1993,3,1,3,2
1994,3,2,2,3
1995,2,4,3,1
1996,3,1,3,3
1997,3,1,3,4
1998,1,4,2,3
1999,4,4,3,1
2000,2,3,1,1
2003,3,4,3,3
2007,3,4,4,4
2008,3,2,3,2
2009,4,2,3,1
2010,2,3,3,3
2012,4,1,2,3
2013,2,2,3,2
2014,4,1,3,1
2015,3,2,3,1
2016,4,3,3,3
2017,4,3,3,1
2018,3,1,2,2
2019,4,1,2,2
2020,4,2,3,3
2021,1,3,3,4
2022,4,4,2,3
2023,1,4,2,1
2024,4,1,3,3
2025,2,4,3,2
2026,3,3,2,1
2027,4,1,4,2
2031,3,1,2,1
2032,3,4,1,4
2034,2,1,3,3
2035,3,4,3,4
2036,4,4,2,1
2037,2,3,3,3
2038,1,4,3,4
2040,4,3,3,3
2041,4,1,3,3
2044,3,2,3,4
2045,4,2,2,1
2046,3,4,3,3
2048,3,3,3,4
2049,3,3,4,4
2051,3,3,3,2
2052,4,3,3,4
2053,2,4,3,1
2054,1,4,1,2
2055,1,4,3,2
2056,4,2,2,1
2057,1,2,3,2
2060,3,4,3,4
2061,4,3,3,3
2062,1,4,3,1
2064,2,2,3,2
2065,2,4,2,4
2068,3,2,4,1
