EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,DistanceFromHome,YearsAtCompany,TotalWorkingYears,Attrition
502,34,Male,Single,Sales,Sales Executive,2,5304,19,5,9,Yes
505,55,Female,Single,Research & Development,Manager,4,16659,2,5,30,No
507,24,Female,Divorced,Sales,Sales Executive,2,4260,10,5,5,No
508,30,Male,Married,Sales,Sales Representative,1,2476,2,1,1,No
510,26,Male,Single,Research & Development,Research Scientist,1,3102,3,6,7,Yes
511,22,Female,Married,Research & Development,Research Scientist,1,2244,11,2,2,No
513,36,Male,Married,Sales,Sales Executive,3,7596,2,10,10,No
514,30,Male,Single,Research & Development,Research Scientist,1,2285,4,1,3,Yes
515,37,Female,Divorced,Research & Development,Laboratory Technician,1,3034,14,18,18,No
516,40,Female,Divorced,Sales,Sales Executive,2,5715,2,5,8,No
517,42,Female,Divorced,Research & Development,Laboratory Technician,1,2576,1,5,8,No
518,37,Male,Single,Research & Development,Manufacturing Director,2,4197,10,1,18,No
520,43,Male,Divorced,Research & Development,Research Director,4,14336,12,25,25,No
521,40,Female,Married,Research & Development,Laboratory Technician,2,3448,2,1,20,No
522,54,Male,Married,Research & Development,Research Director,5,19406,5,4,24,No
523,34,Female,Married,Sales,Sales Executive,2,6538,4,3,6,No
524,31,Female,Married,Research & Development,Manufacturing Director,2,4306,7,13,13,No
525,43,Male,Married,Research & Development,Laboratory Technician,1,2258,21,3,8,No
526,43,Female,Divorced,Research & Development,Healthcare Representative,2,4522,8,5,8,No
527,25,Female,Single,Sales,Sales Executive,2,4487,4,5,5,No
529,37,Female,Married,Research & Development,Research Scientist,2,4449,25,13,15,No
530,31,Male,Married,Research & Development,Laboratory Technician,1,2218,1,4,4,No
531,39,Male,Divorced,Research & Development,Manager,5,19197,1,21,21,No
532,56,Female,Married,Sales,Sales Executive,4,13212,6,7,36,No
533,30,Female,Single,Sales,Sales Executive,2,6577,12,5,6,No
534,41,Male,Married,Sales,Sales Executive,3,8392,1,10,10,No
536,28,Male,Divorced,Research & Development,Laboratory Technician,2,4558,17,10,10,No
538,25,Male,Married,Research & Development,Laboratory Technician,1,4031,3,2,6,Yes
543,52,Male,Married,Research & Development,Manufacturing Director,3,7969,3,5,28,No
544,45,Male,Married,Research & Development,Research Scientist,1,2654,10,2,8,No
546,52,Female,Married,Research & Development,Manager,4,16555,4,5,31,No
547,42,Female,Divorced,Research & Development,Research Scientist,2,4556,29,5,19,No
548,30,Female,Single,Research & Development,Manufacturing Director,2,6091,2,5,11,No
549,60,Female,Married,Research & Development,Manager,5,19566,7,29,33,No
550,46,Female,Divorced,Research & Development,Manufacturing Director,2,4810,18,10,19,No
551,42,Female,Married,Research & Development,Healthcare Representative,2,4523,28,6,7,No
554,24,Female,Single,Sales,Sales Representative,1,3202,1,5,6,Yes
555,34,Female,Divorced,Sales,Sales Representative,1,2351,6,2,3,Yes
556,38,Male,Married,Research & Development,Laboratory Technician,1,1702,2,1,1,No
558,40,Female,Married,Sales,Manager,5,18041,2,20,21,No
560,26,Female,Divorced,Research & Development,Research Scientist,1,2886,23,3,3,No
562,30,Male,Married,Research & Development,Laboratory Technician,1,2097,3,5,9,No
564,29,Male,Married,Research & Development,Research Director,3,11935,3,10,10,No
565,29,Female,Married,Research & Development,Research Scientist,1,2546,25,2,6,Yes
566,19,Male,Single,Human Resources,Human Resources,1,2564,2,1,1,Yes
567,30,Female,Married,Sales,Sales Executive,3,8412,22,9,10,No
568,57,Male,Divorced,Sales,Manager,4,14118,29,1,32,No
569,50,Male,Married,Research & Development,Manager,4,17046,29,27,28,No
571,30,Female,Single,Research & Development,Laboratory Technician,1,2564,2,11,12,No
573,60,Female,Married,Sales,Sales Executive,3,10266,28,18,22,No
574,47,Female,Divorced,Research & Development,Manufacturing Director,2,5070,2,5,20,No
575,46,Male,Married,Research & Development,Research Director,4,17861,2,3,26,No
577,35,Male,Single,Research & Development,Laboratory Technician,1,4230,22,5,6,No
578,54,Female,Single,Research & Development,Laboratory Technician,2,3780,8,1,19,No
579,34,Male,Divorced,Research & Development,Research Scientist,1,2768,2,7,14,No
580,46,Female,Married,Sales,Sales Executive,3,9071,10,3,15,No
581,31,Male,Divorced,Research & Development,Manufacturing Director,3,10648,9,13,13,No
582,33,Male,Married,Research & Development,Manager,3,13610,15,7,15,Yes
584,33,Male,Divorced,Research & Development,Laboratory Technician,1,3408,10,4,8,Yes
585,30,Male,Single,Sales,Sales Representative,1,2983,7,3,4,No
586,35,Male,Married,Research & Development,Healthcare Representative,3,7632,16,8,10,No
587,31,Male,Married,Research & Development,Healthcare Representative,3,9824,20,1,12,Yes
590,34,Female,Divorced,Human Resources,Human Resources,3,9950,23,3,11,Yes
591,42,Male,Married,Research & Development,Laboratory Technician,1,2093,5,2,8,No
592,36,Male,Single,Sales,Sales Executive,3,9980,10,10,10,No
593,22,Male,Single,Research & Development,Laboratory Technician,1,3894,4,2,4,Yes
595,48,Female,Married,Sales,Sales Executive,2,4051,2,9,14,No
597,55,Female,Single,Sales,Manager,4,16835,18,10,37,No
599,41,Male,Single,Sales,Sales Executive,2,6230,10,14,16,No
600,35,Male,Married,Sales,Sales Executive,2,4717,1,11,15,No
601,40,Female,Single,Research & Development,Manufacturing Director,4,13237,6,20,22,No
602,39,Female,Married,Research & Development,Laboratory Technician,1,3755,8,8,8,No
604,31,Male,Single,Sales,Sales Executive,2,6582,2,6,10,No
605,42,Male,Married,Research & Development,Manufacturing Director,3,7406,24,10,10,No
606,45,Male,Married,Sales,Sales Executive,2,4805,2,8,9,No
608,26,Female,Divorced,Human Resources,Human Resources,1,2741,17,7,8,Yes
611,29,Male,Divorced,Research & Development,Manufacturing Director,2,4262,19,3,8,No
612,33,Female,Divorced,Research & Development,Research Director,4,16184,1,6,10,No
613,31,Male,Divorced,Sales,Manager,3,11557,7,5,10,No
614,18,Male,Single,Sales,Sales Representative,1,1878,5,0,0,Yes
615,40,Male,Divorced,Sales,Sales Executive,3,10932,28,1,20,No
616,41,Female,Single,Research & Development,Healthcare Representative,2,6811,2,8,10,No
618,26,Male,Divorced,Sales,Sales Executive,2,4306,29,0,8,No
620,35,Female,Single,Sales,Sales Executive,2,4859,1,5,5,No
621,34,Male,Single,Sales,Sales Executive,2,5337,21,10,10,No
622,26,Male,Single,Research & Development,Laboratory Technician,1,2340,24,1,1,Yes
623,37,Female,Single,Research & Development,Manufacturing Director,3,7491,1,6,12,No
624,46,Female,Married,Research & Development,Healthcare Representative,3,10527,18,2,28,No
625,41,Female,Married,Sales,Manager,4,16595,2,18,22,No
626,37,Male,Divorced,Sales,Sales Executive,3,8834,9,9,9,No
630,52,Male,Divorced,Research & Development,Research Scientist,2,5577,6,10,18,No
631,32,Male,Married,Sales,Sales Executive,2,4707,11,4,6,Yes
632,24,Male,Married,Sales,Sales Representative,1,2400,24,2,3,No
634,38,Female,Married,Research & Development,Healthcare Representative,2,9824,10,1,18,No
635,37,Female,Married,Research & Development,Manufacturing Director,2,6447,1,6,8,No
638,49,Male,Divorced,Research & Development,Research Director,5,19502,18,31,31,No
639,24,Male,Married,Research & Development,Research Scientist,1,2725,23,6,6,No
641,26,Male,Married,Sales,Sales Executive,2,6272,28,5,6,No
643,24,Male,Married,Research & Development,Laboratory Technician,1,2127,17,1,1,No
644,50,Male,Married,Human Resources,Manager,5,18200,3,32,32,No
645,25,Male,Married,Sales,Sales Representative,1,2096,13,7,7,No
647,24,Female,Married,Research & Development,Laboratory Technician,1,2886,7,6,6,Yes
648,30,Male,Married,Sales,Sales Representative,1,2033,12,1,1,Yes
649,34,Male,Married,Research & Development,Research Scientist,1,3622,1,6,6,No
650,31,Male,Divorced,Sales,Sales Executive,2,4233,13,3,9,Yes
652,35,Male,Single,Research & Development,Laboratory Technician,2,3681,25,3,9,No
653,31,Male,Divorced,Sales,Sales Executive,2,5460,6,7,13,No
655,27,Female,Divorced,Research & Development,Research Scientist,1,2187,6,5,6,No
656,37,Male,Married,Sales,Sales Executive,2,9602,2,3,17,No
657,20,Female,Single,Research & Development,Research Scientist,1,2836,1,1,1,No
659,42,Female,Married,Research & Development,Healthcare Representative,2,4089,2,10,10,No
661,43,Male,Divorced,Research & Development,Research Director,4,16627,6,1,21,No
662,38,Female,Single,Research & Development,Research Scientist,1,2619,1,0,8,No
663,43,Male,Divorced,Research & Development,Laboratory Technician,2,5679,9,8,10,No
664,48,Female,Married,Research & Development,Manager,4,15402,1,3,21,No
665,44,Female,Single,Human Resources,Human Resources,2,5985,1,2,10,No
666,34,Female,Divorced,Sales,Sales Representative,1,2579,14,8,8,No
667,27,Male,Divorced,Sales,Sales Representative,1,3041,2,4,5,Yes
669,21,Male,Single,Sales,Sales Representative,1,3447,22,3,3,No
671,44,Male,Married,Research & Development,Manager,5,19513,3,2,26,No
675,22,Male,Married,Research & Development,Research Scientist,1,2773,6,2,3,No
677,33,Male,Divorced,Sales,Sales Executive,2,7104,8,5,6,No
679,32,Female,Married,Research & Development,Research Scientist,2,6322,9,6,6,No
680,30,Female,Divorced,Research & Development,Research Scientist,1,2083,3,1,1,No
682,53,Female,Single,Sales,Sales Executive,2,8381,1,14,18,No
683,34,Male,Married,Research & Development,Research Scientist,1,2691,1,10,10,No
684,45,Female,Married,Sales,Sales Executive,2,4286,26,1,5,Yes
686,26,Female,Married,Research & Development,Laboratory Technician,1,2659,6,3,3,No
689,37,Male,Married,Research & Development,Manufacturing Director,3,9434,3,10,10,No
690,29,Female,Married,Sales,Sales Executive,2,5561,3,6,6,No
691,35,Male,Single,Research & Development,Research Scientist,2,6646,6,17,17,No
692,33,Male,Divorced,Research & Development,Healthcare Representative,2,7725,6,13,15,No
698,54,Male,Married,Human Resources,Human Resources,3,10725,19,9,16,No
699,36,Male,Divorced,Research & Development,Manufacturing Director,2,8847,9,3,13,No
700,27,Male,Single,Research & Development,Research Scientist,1,2045,3,4,5,No
701,20,Male,Single,Research & Development,Research Scientist,1,1009,10,1,1,Yes
702,33,Male,Single,Research & Development,Research Scientist,1,3348,3,10,10,Yes
704,35,Male,Married,Research & Development,Laboratory Technician,1,1281,3,1,1,No
705,23,Male,Married,Research & Development,Research Scientist,1,2819,4,3,5,No
707,25,Male,Married,Sales,Sales Executive,2,4851,8,3,4,No
709,38,Female,Single,Sales,Sales Executive,2,4028,7,7,8,No
710,29,Male,Divorced,Research & Development,Research Scientist,1,2720,1,10,10,No
712,48,Male,Married,Sales,Sales Executive,2,8120,2,2,12,No
714,27,Female,Divorced,Sales,Sales Executive,2,4647,3,6,6,No
715,37,Male,Single,Research & Development,Research Scientist,1,4680,10,1,4,No
716,50,Male,Married,Research & Development,Laboratory Technician,1,3221,28,20,20,No
717,34,Female,Single,Research & Development,Healthcare Representative,3,8621,9,8,9,No
720,24,Female,Single,Sales,Sales Executive,2,4577,3,2,4,Yes
721,39,Female,Single,Research & Development,Healthcare Representative,2,4553,2,20,20,No
722,32,Male,Single,Sales,Sales Executive,2,5396,10,10,10,No
723,50,Male,Married,Sales,Sales Executive,2,6796,8,4,18,Yes
724,38,Female,Single,Research & Development,Healthcare Representative,2,7625,1,9,10,No
725,27,Female,Married,Research & Development,Manufacturing Director,3,7412,1,9,9,No
727,32,Female,Single,Research & Development,Research Director,3,11159,3,7,10,No
728,47,Male,Single,Sales,Sales Executive,2,4960,14,7,20,No
729,40,Male,Married,Sales,Sales Executive,3,10475,5,18,20,No
730,53,Male,Married,Research & Development,Research Director,4,14814,7,5,32,No
731,41,Male,Divorced,Human Resources,Manager,5,19141,10,21,23,No
732,60,Male,Single,Sales,Sales Executive,2,5405,16,2,10,No
733,27,Male,Divorced,Research & Development,Manufacturing Director,3,8793,10,9,9,No
734,41,Male,Married,Human Resources,Manager,5,19189,1,22,22,No
738,50,Male,Married,Sales,Sales Representative,1,3875,8,2,4,No
741,28,Female,Single,Research & Development,Research Scientist,1,2216,1,7,10,Yes
742,36,Female,Married,Research & Development,Research Director,3,11713,8,8,10,No
743,38,Female,Single,Research & Development,Manufacturing Director,3,7861,1,1,10,No
744,44,Male,Single,Research & Development,Laboratory Technician,1,3708,24,5,9,No
746,47,Female,Divorced,Sales,Sales Executive,4,13770,3,22,28,No
747,30,Male,Divorced,Sales,Sales Executive,2,5304,27,8,10,No
749,29,Male,Single,Sales,Sales Representative,1,2642,10,1,1,No
752,42,Male,Divorced,Research & Development,Research Scientist,1,2759,19,2,7,Yes
754,43,Male,Married,Sales,Sales Executive,2,6804,15,2,7,No
757,34,Female,Single,Research & Development,Healthcare Representative,2,6142,8,5,10,No
758,23,Male,Married,Research & Development,Laboratory Technician,1,2500,9,4,5,No
760,39,Female,Married,Human Resources,Human Resources,2,6389,3,8,12,No
762,56,Male,Married,Research & Development,Healthcare Representative,4,11103,9,10,30,No
763,40,Female,Single,Research & Development,Research Scientist,1,2342,2,4,5,No
764,27,Female,Single,Research & Development,Healthcare Representative,2,6811,7,7,9,No
766,29,Male,Divorced,Sales,Sales Representative,1,2297,10,2,2,No
769,53,Male,Single,Research & Development,Laboratory Technician,2,2450,6,2,19,No
771,35,Female,Divorced,Research & Development,Healthcare Representative,2,5093,2,1,16,No
772,32,Male,Married,Research & Development,Laboratory Technician,2,5309,24,10,10,No
773,38,Male,Married,Research & Development,Research Scientist,1,3057,2,1,6,No
775,34,Female,Divorced,Research & Development,Manufacturing Director,2,5121,8,0,7,No
776,52,Male,Married,Sales,Manager,4,16856,3,34,34,No
780,33,Male,Single,Research & Development,Research Scientist,1,2686,1,10,10,Yes
781,25,Female,Single,Sales,Sales Executive,2,6180,26,6,6,No
783,45,Male,Single,Sales,Sales Representative,2,6632,2,8,9,No
784,23,Male,Single,Research & Development,Research Scientist,1,3505,10,2,2,No
785,47,Female,Single,Sales,Sales Executive,2,6397,27,5,8,Yes
786,34,Male,Single,Sales,Sales Executive,2,6274,2,6,6,No
787,55,Male,Married,Research & Development,Manager,5,19859,2,5,24,Yes
789,36,Male,Single,Sales,Sales Executive,3,7587,8,10,10,No
791,52,Male,Married,Research & Development,Research Scientist,1,4258,19,4,5,No
792,26,Female,Divorced,Research & Development,Laboratory Technician,1,4364,1,2,5,No
793,29,Female,Married,Research & Development,Healthcare Representative,2,4335,27,8,11,No
796,26,Male,Single,Sales,Sales Executive,2,5326,8,4,6,Yes
797,34,Female,Single,Research & Development,Research Scientist,1,3280,1,4,10,No
799,54,Female,Divorced,Research & Development,Manufacturing Director,2,5485,19,5,9,No
800,27,Male,Married,Sales,Sales Executive,2,4342,8,4,5,No
802,37,Female,Divorced,Research & Development,Research Scientist,1,2782,10,5,6,No
803,38,Female,Single,Research & Development,Manufacturing Director,2,5980,2,15,17,No
804,34,Female,Single,Research & Development,Research Scientist,1,4381,2,6,6,No
805,35,Female,Married,Sales,Sales Representative,1,2572,8,3,3,No
806,30,Male,Married,Research & Development,Laboratory Technician,1,3833,1,2,7,No
807,40,Female,Married,Research & Development,Healthcare Representative,2,4244,2,8,8,No
808,34,Female,Married,Sales,Sales Executive,2,6500,8,3,6,No
809,42,Male,Divorced,Research & Development,Manager,5,18430,8,24,24,No
811,23,Male,Married,Research & Development,Laboratory Technician,1,1601,6,0,1,Yes
812,24,Male,Divorced,Research & Development,Laboratory Technician,1,2694,9,1,1,No
813,52,Female,Married,Research & Development,Laboratory Technician,2,3149,11,5,9,No
815,50,Male,Married,Research & Development,Research Director,4,17639,2,4,30,No
816,29,Female,Married,Research & Development,Laboratory Technician,1,2319,1,1,1,Yes
817,33,Male,Married,Research & Development,Research Director,3,11691,7,13,14,No
819,33,Female,Single,Sales,Sales Executive,2,5324,16,3,6,Yes
820,47,Female,Married,Research & Development,Manager,4,16752,2,26,26,No
823,36,Female,Married,Research & Development,Manufacturing Director,2,5228,1,9,10,No
824,29,Male,Married,Research & Development,Research Scientist,1,2700,23,10,10,No
825,58,Male,Single,Research & Development,Research Director,5,19246,2,31,40,Yes
826,35,Female,Single,Research & Development,Research Scientist,1,2506,1,2,7,No
827,42,Female,Married,Research & Development,Manufacturing Director,2,6062,1,4,8,No
828,28,Male,Single,Research & Development,Research Scientist,1,4382,2,2,5,Yes
829,36,Male,Married,Human Resources,Human Resources,1,2143,13,5,8,No
830,32,Female,Married,Research & Development,Manufacturing Director,2,6162,4,14,14,No
832,40,Male,Single,Research & Development,Laboratory Technician,2,5094,16,1,10,No
833,30,Female,Single,Research & Development,Manufacturing Director,2,6877,2,0,12,No
834,45,Female,Single,Research & Development,Research Scientist,1,2274,2,1,1,No
836,42,Male,Married,Research & Development,Manufacturing Director,2,4434,29,9,10,No
837,38,Male,Divorced,Research & Development,Healthcare Representative,2,6288,12,4,13,No
838,34,Female,Single,Research & Development,Research Scientist,1,2553,16,5,6,No
840,49,Female,Married,Sales,Sales Executive,3,7654,11,9,9,Yes
842,55,Male,Single,Sales,Sales Executive,2,5160,2,9,12,Yes
843,43,Male,Married,Research & Development,Research Director,4,17159,14,4,22,No
844,27,Male,Divorced,Research & Development,Research Director,3,12808,5,9,9,No
845,35,Male,Single,Research & Development,Manufacturing Director,3,10221,7,8,17,No
846,28,Female,Married,Sales,Sales Executive,2,4779,2,8,8,No
847,34,Male,Married,Human Resources,Human Resources,1,3737,3,3,4,No
848,26,Female,Married,Research & Development,Research Scientist,1,2366,5,8,8,Yes
850,27,Male,Married,Research & Development,Research Scientist,1,1706,3,0,0,No
851,51,Female,Married,Sales,Manager,4,16307,26,20,29,No
852,44,Male,Single,Research & Development,Healthcare Representative,2,5933,4,5,10,No
854,25,Male,Single,Research & Development,Research Scientist,1,3424,2,4,6,No
855,33,Male,Divorced,Sales,Sales Executive,2,4037,1,9,9,No
856,35,Female,Single,Research & Development,Research Scientist,1,2559,27,6,6,No
857,36,Male,Married,Sales,Sales Executive,2,6201,1,18,18,No
859,32,Male,Divorced,Sales,Sales Executive,2,4403,13,5,8,No
861,30,Male,Divorced,Research & Development,Research Scientist,1,3761,5,5,10,No
862,53,Female,Married,Sales,Sales Executive,3,10934,7,5,35,No
864,45,Male,Divorced,Sales,Sales Executive,3,10761,9,5,18,No
865,32,Female,Married,Research & Development,Research Scientist,2,5175,8,5,9,No
867,52,Female,Married,Research & Development,Manufacturing Director,4,13826,25,9,31,No
868,37,Male,Divorced,Sales,Sales Executive,2,6334,16,1,9,No
869,28,Male,Divorced,Human Resources,Human Resources,1,4936,8,5,6,No
872,22,Male,Married,Research & Development,Manufacturing Director,2,4775,1,2,4,No
874,44,Male,Married,Research & Development,Laboratory Technician,1,2818,8,3,10,No
875,42,Male,Single,Research & Development,Research Scientist,1,2515,2,2,8,No
878,36,Male,Married,Human Resources,Human Resources,1,2342,8,5,6,No
879,25,Male,Married,Sales,Sales Executive,2,4194,3,5,5,No
880,35,Female,Married,Research & Development,Manufacturing Director,3,10685,9,17,17,No
881,35,Female,Divorced,Research & Development,Research Scientist,1,2022,25,10,10,Yes
882,32,Male,Divorced,Research & Development,Laboratory Technician,1,2314,1,3,4,No
885,25,Male,Married,Sales,Sales Executive,2,4256,4,5,5,No
887,49,Female,Married,Research & Development,Research Scientist,1,3580,1,4,7,No
888,24,Male,Married,Research & Development,Laboratory Technician,1,3162,4,5,6,No
889,32,Male,Married,Sales,Sales Executive,2,6524,5,10,10,No
893,38,Male,Married,Sales,Sales Representative,1,2899,9,2,3,No
894,42,Female,Married,Research & Development,Laboratory Technician,2,5231,3,5,17,No
895,31,Male,Married,Research & Development,Research Scientist,1,2356,11,6,8,No
896,29,Female,Divorced,Sales,Sales Representative,1,2800,1,3,5,Yes
897,53,Male,Married,Sales,Sales Executive,4,11836,8,2,28,No
899,35,Male,Married,Research & Development,Manufacturing Director,3,10903,25,13,16,No
900,37,Female,Married,Sales,Sales Representative,1,2973,21,5,10,No
901,53,Female,Single,Research & Development,Research Director,4,14275,23,12,33,No
902,43,Female,Married,Research & Development,Healthcare Representative,2,5562,1,5,12,No
903,47,Female,Married,Sales,Sales Executive,2,4537,2,7,8,No
904,37,Male,Single,Sales,Sales Executive,3,7642,19,10,10,No
905,50,Male,Divorced,Research & Development,Manager,4,17924,2,31,31,No
909,39,Female,Married,Human Resources,Human Resources,2,5204,2,5,13,No
910,33,Male,Divorced,Human Resources,Human Resources,1,2277,3,4,7,No
911,32,Male,Single,Research & Development,Laboratory Technician,1,2795,25,1,1,Yes
912,29,Female,Divorced,Research & Development,Laboratory Technician,1,2532,7,4,8,No
913,44,Male,Married,Research & Development,Research Scientist,1,2559,9,8,8,No
916,28,Male,Single,Sales,Sales Executive,2,4908,5,4,4,No
918,58,Male,Divorced,Research & Development,Laboratory Technician,1,2380,2,1,3,Yes
920,43,Female,Divorced,Research & Development,Manufacturing Director,2,4765,8,1,4,No
922,20,Female,Single,Sales,Sales Representative,1,2044,2,2,2,Yes
923,21,Female,Single,Research & Development,Research Scientist,1,2693,18,1,1,Yes
924,36,Male,Married,Research & Development,Healthcare Representative,2,6586,14,16,17,No
925,47,Female,Single,Sales,Sales Representative,1,3294,2,3,3,No
926,22,Female,Married,Research & Development,Manufacturing Director,2,4171,3,3,4,Yes
927,41,Female,Divorced,Research & Development,Laboratory Technician,1,2778,2,7,10,Yes
930,28,Female,Divorced,Research & Development,Research Scientist,1,2377,9,2,6,No
932,39,Male,Married,Research & Development,Laboratory Technician,1,2404,6,2,8,Yes
933,27,Female,Single,Research & Development,Research Scientist,1,2318,4,1,1,No
934,34,Male,Divorced,Research & Development,Laboratory Technician,1,2008,10,1,1,No
936,42,Female,Single,Sales,Sales Executive,2,6244,14,5,10,No
939,33,Male,Single,Research & Development,Research Scientist,1,2799,1,3,6,No
940,58,Female,Divorced,Research & Development,Healthcare Representative,3,10552,5,6,24,No
941,31,Male,Married,Sales,Sales Representative,1,2329,7,7,13,No
942,35,Female,Married,Research & Development,Healthcare Representative,2,4014,21,10,10,No
944,49,Female,Married,Research & Development,Laboratory Technician,3,7403,8,26,29,No
945,48,Male,Married,Research & Development,Research Scientist,1,2259,20,0,13,No
947,31,Female,Married,Sales,Sales Executive,2,6932,20,9,9,No
949,36,Male,Single,Research & Development,Research Scientist,1,4678,7,6,8,No
950,38,Female,Married,Research & Development,Research Director,3,13582,1,15,15,No
951,32,Female,Married,Research & Development,Laboratory Technician,1,2332,1,3,5,No
952,25,Male,Married,Sales,Sales Representative,1,2413,19,1,1,Yes
954,40,Male,Divorced,Sales,Sales Executive,3,9705,10,1,11,No
956,26,Male,Single,Sales,Sales Executive,2,4294,1,7,7,No
957,41,Male,Single,Research & Development,Laboratory Technician,1,4721,6,18,20,No
958,36,Male,Single,Research & Development,Laboratory Technician,1,2519,2,11,16,No
959,19,Male,Single,Sales,Sales Representative,1,2121,21,1,1,Yes
960,20,Male,Single,Research & Development,Laboratory Technician,1,2973,4,1,1,Yes
961,31,Female,Married,Research & Development,Healthcare Representative,2,5855,12,9,10,No
964,40,Male,Divorced,Research & Development,Research Scientist,1,3617,9,1,3,No
966,32,Female,Married,Research & Development,Manufacturing Director,2,6725,3,8,8,No
967,36,Male,Married,Sales,Sales Executive,3,10325,3,16,16,Yes
969,33,Female,Single,Research & Development,Healthcare Representative,2,6949,1,5,6,No
970,37,Male,Married,Sales,Sales Executive,3,10609,1,14,17,Yes
972,45,Male,Married,Research & Development,Laboratory Technician,2,4447,4,9,9,No
974,29,Female,Married,Sales,Sales Representative,1,2157,20,3,3,No
975,35,Female,Married,Sales,Sales Executive,2,4601,18,5,5,No
976,52,Male,Married,Research & Development,Manager,4,17099,1,9,26,No
977,58,Male,Single,Research & Development,Research Scientist,1,2479,2,1,7,Yes
981,53,Male,Divorced,Sales,Manager,4,14852,2,17,22,No
982,30,Male,Divorced,Sales,Sales Executive,3,7264,8,8,10,No
983,38,Female,Single,Sales,Sales Executive,2,5666,10,5,6,No
984,35,Male,Divorced,Sales,Sales Executive,3,7823,3,10,12,No
985,39,Male,Single,Sales,Sales Executive,3,7880,2,8,9,No
986,40,Female,Single,Sales,Sales Executive,4,13194,24,1,22,Yes
987,47,Male,Divorced,Research & Development,Manufacturing Director,2,5067,16,19,20,No
990,36,Male,Divorced,Sales,Sales Executive,2,5079,8,7,12,No
991,31,Male,Single,Research & Development,Research Scientist,1,2321,9,3,4,Yes
992,33,Male,Single,Sales,Manager,4,17444,17,10,10,No
994,29,Female,Single,Research & Development,Research Scientist,1,2404,10,0,3,Yes
995,33,Female,Single,Research & Development,Research Scientist,1,3452,13,3,5,No
996,45,Female,Divorced,Research & Development,Laboratory Technician,1,2270,1,5,8,No
997,50,Male,Divorced,Research & Development,Research Director,4,17399,1,5,32,No
998,33,Female,Married,Research & Development,Healthcare Representative,2,5488,1,6,6,No
999,41,Male,Divorced,Research & Development,Research Director,5,19419,9,18,21,No
1001,27,Female,Married,Research & Development,Laboratory Technician,1,2811,16,2,4,No
1002,45,Male,Married,Research & Development,Laboratory Technician,2,3633,23,9,9,No
1003,47,Female,Single,Sales,Sales Executive,2,4163,4,9,9,No
1004,30,Female,Married,Research & Development,Research Scientist,1,2132,22,5,7,Yes
1005,50,Male,Married,Research & Development,Manufacturing Director,4,13973,24,12,22,No
1006,38,Male,Married,Research & Development,Research Scientist,1,2684,10,2,3,No
1007,46,Male,Divorced,Research & Development,Manufacturing Director,3,10845,7,8,13,No
1009,24,Female,Divorced,Research & Development,Manufacturing Director,2,4377,17,4,5,No
1010,35,Male,Divorced,Research & Development,Laboratory Technician,1,3743,14,4,5,Yes
1011,31,Female,Married,Research & Development,Manufacturing Director,2,4148,1,4,4,No
1012,18,Male,Single,Research & Development,Research Scientist,1,1051,5,0,0,No
1013,54,Female,Married,Research & Development,Manufacturing Director,3,10739,17,10,22,No
1014,35,Female,Divorced,Research & Development,Healthcare Representative,3,10388,25,16,16,No
1015,30,Female,Married,Research & Development,Research Director,3,11416,8,8,9,No
1016,20,Female,Single,Research & Development,Research Scientist,1,2600,11,1,1,Yes
1017,30,Female,Single,Research & Development,Laboratory Technician,1,2422,5,3,4,Yes
1018,26,Male,Married,Research & Development,Manufacturing Director,2,5472,2,8,8,No
1019,22,Male,Married,Research & Development,Laboratory Technician,1,2451,8,4,4,No
1022,48,Male,Single,Research & Development,Healthcare Representative,2,4240,6,2,19,No
1024,48,Male,Single,Research & Development,Healthcare Representative,3,10999,4,15,27,No
1025,41,Female,Single,Research & Development,Manufacturing Director,2,5003,7,2,8,No
1026,39,Female,Married,Research & Development,Manufacturing Director,4,12742,1,21,21,No
1027,27,Female,Married,Research & Development,Manufacturing Director,2,4227,2,3,4,No
1028,35,Male,Divorced,Research & Development,Laboratory Technician,1,3917,10,3,3,No
1029,42,Male,Married,Sales,Manager,5,18303,5,1,21,No
1030,50,Male,Married,Research & Development,Laboratory Technician,1,2380,9,1,8,No
1032,59,Female,Single,Research & Development,Manufacturing Director,4,13726,2,5,30,No
1033,37,Female,Married,Research & Development,Healthcare Representative,2,4777,11,1,15,Yes
1034,55,Male,Married,Research & Development,Healthcare Representative,2,6385,18,8,17,No
1035,41,Female,Divorced,Research & Development,Research Director,5,19973,7,21,21,No
1036,38,Male,Single,Sales,Sales Executive,2,6861,3,1,19,No
1037,26,Male,Single,Sales,Sales Executive,2,4969,29,2,7,Yes
1038,52,Female,Married,Sales,Manager,5,19845,2,32,33,Yes
1039,44,Female,Married,Sales,Sales Executive,4,13320,28,12,23,No
1040,50,Female,Married,Sales,Sales Executive,2,6347,1,18,19,No
1042,36,Female,Single,Research & Development,Laboratory Technician,1,2743,16,17,18,Yes
1043,39,Female,Single,Research & Development,Manufacturing Director,3,10880,22,21,21,No
1044,33,Female,Single,Sales,Sales Representative,1,2342,8,2,3,No
1045,45,Female,Married,Sales,Manager,4,17650,11,9,26,No
1046,32,Female,Single,Research & Development,Laboratory Technician,1,4025,29,8,10,No
1047,34,Male,Divorced,Sales,Sales Executive,2,9725,1,15,16,No
