EmployeeNumber,PerformanceRating,OverTime,JobInvolvement,TrainingTimesLastYear,PercentSalaryHike
1516,4,No,3,5,25
1520,4,No,3,2,20
1522,3,No,2,2,13
1523,3,No,3,1,13
1525,3,No,3,3,18
1527,3,No,3,2,12
1529,3,No,2,3,19
1533,3,No,3,2,14
1534,3,No,3,3,14
1535,3,Yes,2,3,14
1537,3,No,3,2,12
1539,3,Yes,1,2,13
1541,4,Yes,3,4,25
1542,3,No,2,3,14
1543,3,No,3,2,17
1544,3,No,1,3,13
1545,3,No,2,2,13
1546,4,No,3,3,20
1547,3,Yes,3,3,14
1548,3,No,3,5,12
1549,3,Yes,3,3,12
1550,4,Yes,3,2,21
1551,3,No,2,3,14
1552,3,Yes,3,2,18
1553,3,No,3,4,12
1554,4,No,2,5,23
1555,3,No,2,2,12
1556,4,Yes,3,3,21
1557,3,No,3,2,14
1558,3,No,4,2,18
1560,3,No,3,6,13
1562,3,No,2,4,11
1563,3,No,3,2,11
1564,3,No,2,3,19
1568,3,No,3,3,12
1569,3,Yes,3,2,12
1572,3,No,2,4,16
1573,3,No,3,2,11
1574,3,No,3,3,14
1576,3,No,3,3,12
1577,3,No,3,4,13
1578,4,No,2,3,21
1580,3,No,3,3,17
1581,4,No,3,5,21
1582,3,No,3,3,11
1583,3,No,3,5,12
1585,3,No,3,5,13
1586,3,Yes,3,3,18
1587,3,Yes,3,4,16
1588,3,No,4,3,11
1590,3,No,3,0,19
1591,3,Yes,3,2,16
1592,3,No,4,2,16
1594,3,Yes,4,3,13
1595,4,No,2,2,22
1596,3,No,4,3,17
1597,3,No,2,3,14
1598,3,No,3,2,15
1599,3,No,4,0,12
1601,3,No,2,5,18
1602,3,No,4,5,15
1604,3,Yes,3,3,17
1605,3,Yes,2,2,14
1606,3,Yes,3,3,15
1607,3,No,4,3,17
1608,3,Yes,3,4,14
1609,3,No,2,3,12
1611,3,Yes,1,3,14
1612,3,No,2,2,15
1613,3,No,3,3,13
1614,3,Yes,3,2,12
1615,3,No,4,3,13
1617,3,No,3,3,14
1618,3,No,3,3,13
1619,3,No,2,3,11
1621,3,No,4,2,11
1622,4,No,1,5,21
1623,3,No,3,2,18
1624,3,Yes,3,2,12
1625,3,No,3,2,11
1627,3,No,2,3,15
1628,3,No,2,2,13
1630,3,No,3,5,12
1631,3,No,3,2,17
1633,3,No,3,2,13
1635,3,No,2,3,19
1638,3,Yes,2,6,19
1639,3,No,2,3,17
1640,3,No,3,2,11
1641,3,Yes,3,2,15
1642,3,Yes,3,3,11
1644,4,No,2,3,25
1645,3,Yes,1,2,14
1646,3,Yes,3,2,13
1647,3,No,4,0,17
1648,3,No,3,0,13
1649,3,Yes,3,3,14
1650,3,No,2,2,11
1651,3,No,3,6,12
1653,3,No,4,6,17
1654,4,No,3,3,21
1655,3,No,3,2,16
1656,3,No,2,3,15
1657,3,No,3,3,19
1658,3,No,3,2,12
1659,3,No,3,4,11
1661,3,Yes,2,3,19
1662,3,No,2,6,15
1664,4,No,4,3,20
1665,4,No,3,6,25
1666,4,No,2,3,24
1667,4,Yes,3,2,24
1668,3,No,3,4,15
1669,3,Yes,2,3,13
1670,3,No,3,5,14
1671,3,No,3,4,13
1673,3,No,3,2,11
1674,3,Yes,3,2,16
1675,4,No,2,3,22
1676,3,No,4,2,14
1677,3,No,3,2,14
1678,3,Yes,3,2,16
1680,3,No,3,3,11
1681,4,Yes,3,2,25
1682,3,No,3,2,14
1683,3,Yes,3,2,18
1684,3,Yes,2,2,11
1687,3,No,3,5,19
1689,3,No,4,2,15
1691,3,Yes,3,3,11
1692,3,No,3,2,12
1693,4,No,3,5,20
1694,3,No,2,1,12
1696,3,No,2,3,14
1697,4,No,1,2,20
1698,3,No,4,6,18
1700,3,No,1,2,14
1701,3,No,2,3,12
1702,4,Yes,3,2,21
1703,3,Yes,4,2,19
1704,3,Yes,2,2,14
1706,3,Yes,3,3,17
1707,3,No,4,1,16
1708,3,No,3,3,12
1709,3,No,3,2,17
1710,3,No,3,2,15
1712,4,No,2,3,23
1714,3,No,1,2,11
1716,3,No,1,3,11
1718,3,No,1,3,15
1719,3,No,2,2,11
1720,3,No,3,3,13
1721,3,No,3,2,14
1722,3,No,1,4,19
1724,3,Yes,3,3,16
1725,3,No,3,2,13
1727,3,No,3,3,14
1728,3,No,3,3,16
1729,3,No,3,2,12
1731,3,No,3,3,11
1732,3,Yes,3,5,12
1733,3,Yes,2,3,13
1734,3,No,1,2,15
1735,3,No,3,3,13
1736,4,No,3,3,20
1737,3,Yes,3,2,15
1739,3,No,1,2,13
1740,3,No,3,3,14
1744,4,No,1,2,21
1745,3,No,2,2,16
1746,3,No,3,2,14
1747,3,No,2,0,11
1749,3,No,3,3,19
1751,3,No,3,5,11
1752,3,No,1,3,13
1753,3,Yes,4,5,12
1754,3,No,2,2,11
1755,3,Yes,4,3,14
1756,3,No,3,2,15
1757,3,No,3,1,12
1758,4,Yes,3,2,20
1760,3,No,2,4,14
1761,3,No,3,2,13
1762,3,No,2,2,13
1763,3,No,4,3,16
1764,3,No,3,3,14
1766,3,Yes,1,2,16
1767,3,Yes,2,4,16
1768,4,No,3,6,22
1770,3,No,2,2,12
1771,3,No,3,2,15
1772,4,No,3,2,20
1774,3,Yes,3,3,14
1775,4,Yes,2,2,20
1778,3,No,3,5,13
1779,3,No,1,3,12
1780,3,No,3,3,13
1782,3,No,2,3,11
1783,3,Yes,3,6,17
1784,3,No,2,3,14
1786,3,No,3,2,11
1787,3,No,2,2,14
1789,3,Yes,3,3,17
1790,3,Yes,3,1,13
1792,3,Yes,3,2,12
1794,3,No,3,4,13
1797,3,Yes,3,2,18
1798,3,No,4,1,19
1799,3,No,3,6,11
1800,4,No,3,3,21
1801,3,No,2,3,15
1802,3,No,3,5,17
1803,3,No,4,2,18
1804,3,No,3,6,14
1805,3,No,3,3,13
1807,3,No,3,3,17
1809,3,No,3,4,15
1812,3,No,3,6,18
1813,3,No,3,2,13
1814,3,No,4,3,12
1815,3,Yes,3,3,13
1816,3,No,3,3,14
1818,3,Yes,3,3,11
1821,4,No,3,2,22
1822,3,No,3,3,17
1823,4,No,4,5,21
1824,4,No,3,0,22
1826,3,No,1,2,16
1827,3,Yes,2,4,12
1829,3,No,3,3,12
1830,3,No,3,2,15
1833,3,No,3,3,14
1834,4,No,3,3,25
1835,4,Yes,1,4,20
1836,3,No,3,4,13
1837,3,Yes,3,3,14
1839,3,No,3,4,16
1842,3,No,4,4,17
1844,3,Yes,2,3,15
1845,4,No,3,3,22
1847,4,Yes,3,2,22
1849,4,No,3,5,20
1850,3,Yes,3,3,14
1852,3,No,3,3,13
1853,3,No,3,2,13
1854,4,No,3,1,22
1856,3,No,3,2,12
1857,3,No,3,4,14
1858,3,No,3,2,15
1859,3,No,1,3,17
1860,3,No,3,3,13
1862,3,Yes,2,3,12
1863,3,No,4,5,12
1864,4,No,2,5,21
1865,3,No,2,3,11
1866,3,No,2,2,13
1867,3,No,2,3,12
1868,4,Yes,2,3,24
1869,4,No,3,2,21
1870,3,No,2,2,19
1871,3,No,3,2,14
1873,4,No,2,2,20
1875,3,No,3,3,19
1876,3,No,3,3,13
1878,4,Yes,3,2,23
1880,3,Yes,2,4,13
1881,3,No,3,2,11
1882,3,Yes,3,3,13
1883,3,No,3,2,14
1885,4,Yes,3,2,22
1886,3,Yes,2,2,11
1888,3,No,2,2,13
1890,4,No,2,2,21
1892,3,No,3,3,11
1893,3,Yes,2,3,13
1898,3,No,4,5,14
1900,3,No,3,3,11
1903,3,No,4,5,15
1905,4,Yes,1,2,23
1907,3,No,3,3,16
1908,3,No,2,1,16
1909,4,No,3,3,21
1911,3,No,3,3,13
1912,3,Yes,3,2,11
1915,3,Yes,2,3,12
1916,3,No,4,0,12
1918,3,No,4,3,18
1922,3,No,3,3,12
1924,3,No,3,2,14
1927,3,Yes,2,2,12
1928,3,No,4,3,17
1929,3,No,1,1,19
1931,3,No,3,3,11
1932,3,Yes,2,3,15
1933,3,Yes,3,0,11
1934,3,No,3,4,18
1935,3,No,2,3,16
1936,4,No,3,3,25
1937,3,Yes,2,3,16
1938,3,Yes,3,2,13
1939,3,Yes,4,2,14
1940,3,No,3,0,19
1941,3,No,3,3,15
1943,3,Yes,3,4,12
1944,3,No,2,2,12
1945,3,No,3,2,16
1947,3,No,3,3,14
1948,3,Yes,3,3,13
1949,4,No,4,3,22
1950,4,No,3,3,21
1951,3,No,3,2,18
1952,3,No,3,6,13
1954,3,No,3,5,12
1955,3,No,3,6,18
1956,4,No,1,6,21
1960,3,No,2,2,12
1961,3,No,2,3,14
1962,3,Yes,3,2,11
1965,3,No,3,5,14
1966,4,No,2,1,24
1967,3,Yes,3,4,11
1968,3,Yes,3,2,13
1969,3,No,3,6,11
1970,4,No,3,2,20
1971,3,No,3,1,17
1972,3,Yes,3,2,11
1973,3,Yes,4,0,18
1974,3,Yes,1,4,11
1975,3,No,3,3,12
1976,3,No,2,2,12
1979,4,No,3,2,20
1980,3,Yes,3,3,19
1981,3,No,2,2,12
1982,3,No,3,6,13
1985,3,No,3,2,11
1986,3,No,3,4,14
1987,3,No,3,3,14
1989,3,No,3,6,13
1992,3,Yes,3,2,19
1993,4,No,3,3,23
1994,3,No,2,2,12
1995,3,No,3,3,15
1996,3,No,3,1,19
1997,3,No,2,1,11
1998,3,Yes,3,3,17
1999,4,No,3,3,22
2000,3,No,3,3,18
2003,3,Yes,3,3,11
2007,3,No,3,2,12
2008,3,No,3,5,19
2009,3,Yes,3,6,13
2010,3,No,2,3,13
2012,3,No,3,3,19
2013,3,No,2,2,14
2014,3,No,3,2,13
2015,3,No,1,3,12
2016,3,No,3,3,19
2017,4,Yes,4,2,25
2018,4,Yes,3,3,22
2019,3,No,3,3,15
2020,3,Yes,3,2,12
2021,3,Yes,3,6,11
2022,3,No,3,3,13
2023,3,No,3,3,19
2024,3,No,2,2,19
2025,3,No,3,3,13
2026,4,No,3,2,21
2027,3,Yes,3,3,14
2031,3,No,3,2,11
2032,3,No,3,4,11
2034,4,No,2,3,23
2035,4,No,2,2,21
2036,4,No,1,4,24
2037,3,No,2,5,11
2038,3,No,3,4,14
2040,3,Yes,3,2,16
2041,3,No,3,1,11
2044,3,No,3,3,12
2045,3,No,2,2,13
2046,3,No,3,3,15
2048,3,No,2,2,14
2049,3,Yes,3,2,14
2051,3,No,3,2,14
2052,3,No,1,5,12
2053,3,Yes,2,2,13
2054,3,No,2,3,14
2055,3,Yes,2,3,13
2056,3,No,2,2,11
2057,3,No,3,2,19
2060,3,No,2,2,18
2061,3,No,4,3,17
2062,3,No,2,5,15
2064,4,Yes,4,0,20
2065,3,No,2,3,14
2068,3,No,4,3,12
